date,company,role,status,status2,status3,status4
27/10/2023,nat west group,commercial banking,noreply,,,
27/10/2023,Arcadis,Geo-environmental consultant,noreply,,,
27/10/2023,PL-restart,stem paid placement,noreply,,,
31/10/2023,MBDA,electro-optics seekers system engineer,online assessment1,,,
31/10/2023,MBDA,image processing engineer,online assessment1,,,
13/11/2023,Labcorp,data management,noreply,,,
23/11/2023,rolls royce,engineering and technology,online assessment1,rejected,,
27/11/2023,siemens,engineering and technology,rejected,,,
29/11/2023,PwC,"actuarial, risk modelling, ",rejected,,,
29/11/2023,In-Space Missions,engineering and technology,rejected,,,
01/12/2023,Barclays,technology developer,online assessment1,rejected,,
01/12/2023,FCA,data science,noreply,,,
01/12/2023,MathWorks,Software dev,online assessment1,,,
12/12/2023,Wise,Analytics ,online assessment1,rejected,,
12/12/2023,Oxford Nanopore,Machine Learning,rejected,,,
13/12/2023,Quantinuum,quantum tech,noreply,,,
13/12/2023,TTP,"physics, cyber, ml",noreply,,,
18/12/2023,Activision Blizzard King,data science,rejected,,,
18/12/2023,Jacobs,flood modeller,rejected,,,
05/01/2024,Renishaw,engineering and technology,interview1,interview2,rejected,
19/01/2024,EPFL,physics,rejected,,,
28/01/2024,Centrica,Software dev,online assessment,rejected,,
28/01/2024,Alloyed,engineering and technology,online assessment1,interview1,rejected,
28/01/2024,PA consulting,engineering and technology,online assessment1,online assement2,rejected,
02/02/2024,IBM,physics,rejected,,,
13/03/2024,Quantinuum,physics,noreply,,,
27/10/2023,Civil service,Government,online assessment1,rejected,,
02/11/2023,BAE,engineering and technology,online assessment1,rejected,,
14/11/2023,WSP,engineering and technology,rejected,,,
01/12/2023,Leonardo,engineering and technology,online assessment1,interview1,offer,
15/12/2023,Intel,engineering and technology,noreply,,,
19/12/2023,Arm,Software dev,rejected,,,
12/01/2024,Oxford Instruments,measurment scientist,rejected,,,
30/01/2024,STFC,physics,rejected,,,
31/01/2024,STFC,physics,interview1,,,
11/03/2024,Rank,physics,,,,